CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
82247	99059	3	0.9429	18.010
87009	99059	3	0.8789	13.981
81236	87690	3	0.8722	-0.001
81236	81355	3	0.9039	18.010
78845	98209	3	0.9437	18.010
82247	83327	3	0.8998	-0.001
81355	93013	3	0.8709	0.000
81268	86527	3	0.8699	0.001
83327	99059	3	0.8832	18.010
83037	98209	3	0.8656	245.017
81268	83327	3	0.877	-18.009
83327	98209	3	0.8654	19.014
81355	98209	3	0.8675	0.000
57335	58696	4	0.5224	-1.000
58656	63270	5	0.8198	-0.999
97282	99454	6	0.5522	0.030
98032	98751	6	0.8016	0.033
98032	99454	6	0.7812	-16.997
98751	99454	6	0.8798	-17.030
97282	100020	6	0.5724	-0.019
3134	4510	12	0.7309	-42.011
4189	4510	12	0.7105	-37.002
2784	4261	12	0.7325	2.010
3134	4972	12	0.7052	-56.026
4510	4856	12	0.7137	59.075
4189	4535	12	0.7576	0.090
3273	3796	12	0.7071	44.027
3167	3490	12	0.7534	-0.036
3134	3631	12	0.7019	-14.016
4402	4516	12	0.7101	-0.095
3167	4261	12	0.7285	-16.036
4510	4535	12	0.7256	37.092
3273	3490	12	0.8374	0.000
3167	3273	12	0.9187	-0.036
3273	4189	12	0.731	-36.999
3631	4510	12	0.7337	-27.995
4516	4535	12	0.7038	-21.930
4510	4516	12	0.7464	59.022
4516	4856	12	0.762	0.053
4402	4856	12	0.8117	-0.042
3273	4261	12	0.792	-16.000
19142	50667	14	0.6617	-1.855
28051	50667	14	0.5778	170.220
19142	28051	14	0.8252	-172.075
56031	66723	16	0.7698	-116.062
41373	95928	17	0.6966	-323.383
61810	99459	17	0.7566	-258.278
58859	79782	17	0.6892	8.673
5076	31072	17	0.6809	-158.984
13460	19183	17	0.7253	-77.106
16518	29887	17	0.6815	38.001
46867	58945	17	0.718	-212.139
1277	21075	17	0.7137	331.608
17470	75764	17	0.6888	-324.132
16987	104298	17	0.7174	-386.522
24958	68993	17	0.7513	132.079
20388	58109	17	0.692	-211.991
15260	31072	17	0.6926	-107.984
21671	31072	17	0.6866	-12.984
5076	34855	17	0.7319	-107.062
17970	51297	17	0.7374	-107.911
6260	13671	17	0.7247	45.968
57610	104298	17	0.6966	-310.418
5076	95183	17	0.6845	-395.389
3416	15481	17	0.7148	-33.045
99459	104386	17	0.6824	-41.035
15412	17470	17	0.7096	-76.087
6260	15294	17	0.7315	-113.973
15294	46867	17	0.7294	123.940
13104	103201	17	0.7231	-268.658
15412	61810	17	0.7117	-75.125
13460	58692	17	0.7172	-122.182
15294	17969	17	0.7314	97.004
13104	16987	17	0.72	8.736
94125	107066	17	0.714	-156.154
17353	57610	17	0.6897	-130.076
15294	21214	17	0.7184	24.039
16632	94125	17	0.7591	-252.401
58945	95928	17	0.6978	-212.214
15481	49554	17	0.6898	-122.146
96628	103201	17	0.6951	108.087
15260	63755	17	0.7189	-118.990
9972	17470	17	0.7025	-36.274
58692	100930	17	0.7412	-332.272
31072	103201	17	0.7403	-207.446
21671	93615	17	0.6848	-240.383
3416	49554	17	0.6847	-155.191
63755	80200	17	0.6949	-218.201
16632	93615	17	0.7153	-322.413
19995	21643	17	0.7044	235.871
16987	17353	17	0.7102	53.972
15481	16987	17	0.7135	-64.088
31072	99459	17	0.7059	-177.384
58692	95928	17	0.701	-356.272
13460	21214	17	0.7004	-154.002
15294	15481	17	0.7898	136.052
31072	96628	17	0.7913	-315.534
13899	68993	17	0.7054	-20.133
95183	104298	17	0.7091	-80.169
13104	48853	17	0.7221	-75.264
93615	103320	17	0.7241	-197.159
20388	21643	17	0.7005	-39.982
6260	58945	17	0.7357	-202.172
16632	99459	17	0.7625	-272.397
16632	79782	17	0.6829	-229.385
3749	17470	17	0.7654	-26.155
34855	88396	17	0.6802	-267.403
15540	16632	17	0.7321	-18.962
55654	61810	17	0.698	122.918
58109	68993	17	0.7068	35.813
104298	104616	17	0.7384	40.104
13460	51593	17	0.6821	-130.151
19183	96829	17	0.6854	-403.363
16632	17470	17	0.7819	-15.081
3749	61810	17	0.7081	-25.194
13671	15412	17	0.79	-1.906
31072	61810	17	0.7543	80.894
21643	52472	17	0.74	-216.053
13460	105405	17	0.7021	-453.499
15481	57610	17	0.6895	-140.193
21214	51297	17	0.7123	-37.073
54195	95928	17	0.7129	-243.297
15294	16987	17	0.8658	71.963
6260	13104	17	0.7866	-50.746
16987	61810	17	0.7226	10.946
16518	58945	17	0.6935	-94.115
21214	58945	17	0.7256	-112.238
13104	34855	17	0.7753	-9.289
15294	57610	17	0.7691	-4.141
15540	107066	17	0.6859	-427.518
51297	99005	17	0.7396	-206.354
21671	53807	17	0.6872	-202.280
13104	104298	17	0.721	-377.786
58945	104298	17	0.7251	-226.360
15412	34855	17	0.7177	-104.097
1277	40956	17	0.6822	42.515
13104	101259	17	0.7303	-266.601
15540	55654	17	0.6809	-156.000
1277	90872	17	0.713	-65.778
13104	96628	17	0.7435	-376.746
14432	90872	17	0.6841	-269.171
15294	104298	17	0.7178	-314.559
13104	61810	17	0.7203	19.682
58692	97972	17	0.6803	-242.281
6260	34855	17	0.7298	-60.035
11969	51297	17	0.7228	-116.987
21643	95928	17	0.6811	-418.453
16987	58945	17	0.7332	-160.162
10775	14432	17	0.6884	-32.194
95928	100930	17	0.7638	24.000
13460	96829	17	0.7381	-480.470
31072	95183	17	0.7032	-236.404
21213	34855	17	0.6831	127.091
16987	93374	17	0.7107	-299.364
1277	53807	17	0.7228	66.317
15540	61810	17	0.72	-33.082
15294	58945	17	0.7971	-88.199
14040	95928	17	0.6864	-280.386
94125	99459	17	0.7237	-19.996
21643	29887	17	0.7155	-74.122
17470	93615	17	0.7595	-307.332
15294	54195	17	0.7341	-57.116
17470	28648	17	0.7057	-15.883
34855	107066	17	0.6928	-365.465
15841	58692	17	0.7175	85.033
19995	58109	17	0.7046	63.862
58109	97972	17	0.7192	-132.453
34855	105291	17	0.6927	-428.401
61810	96628	17	0.7676	-396.428
6260	74831	17	0.7482	-410.477
13104	15540	17	0.8496	52.764
34855	96628	17	0.7013	-367.456
13899	24958	17	0.6837	-152.212
58945	74831	17	0.7436	-208.306
17470	33308	17	0.7071	-284.031
58692	96829	17	0.6894	-358.287
14288	61810	17	0.7002	-59.177
20388	58692	17	0.7121	-102.163
17470	62861	17	0.7024	-143.961
41373	100930	17	0.682	-299.383
6260	101259	17	0.6872	-317.346
6260	107066	17	0.6907	-425.500
34760	90872	17	0.7069	-61.364
17470	21671	17	0.7079	-66.949
13671	78488	17	0.721	-454.431
15481	34855	17	0.7318	-82.114
93615	105983	17	0.6818	-5.042
16987	57610	17	0.6924	-76.104
21214	95928	17	0.7673	-324.452
15481	104298	17	0.7243	-450.610
49554	94125	17	0.7744	-169.278
3416	16987	17	0.7054	-97.133
99459	103201	17	0.6857	-30.063
48604	54409	20	0.5036	-84.147
22539	34447	22	0.7019	-15.992
16699	22539	22	0.679	16.007
22539	39649	22	0.6934	0.001
25836	34447	22	0.6609	-15.994
25836	39649	22	0.6774	0.000
22539	25836	22	0.7275	0.001
22539	27935	22	0.7346	0.001
27935	39649	22	0.6669	0.000
25836	61926	22	0.6746	-50.015
27935	34447	22	0.6744	-15.994
25836	27935	22	0.7228	-0.000
91356	106786	23	0.9509	-112.088
66442	93325	23	0.9407	-25.021
87557	89484	23	0.9431	-14.016
87598	92996	23	0.9345	-42.047
82756	87557	23	0.944	-28.068
43906	64543	23	0.924	-59.153
80546	85944	23	0.9483	44.003
82310	91356	23	0.9722	-56.063
65849	89448	23	0.9306	-70.337
74950	78155	23	0.9582	-0.060
90406	93284	23	0.9466	-28.031
89448	92996	23	0.9434	-28.031
